authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Grace Abels,"March 11, 2024","A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.",Instagram posts,mostly-true,Real,1
Jeff Cercone,"March 8, 2024",Video shows Erewhon grocery store in Brooklyn.,Instagram posts,pants-fire,Fake,0
Loreben Tuquero,"March 8, 2024",President Joe Biden had a gaffe “in a rally in Michigan on Saturday.”,Instagram posts,false,Fake,0
Jeff Cercone,"March 8, 2024","Video of Joe Biden and Hillary Clinton speeches proves that their words are “all scripts and copied, all fake.”",Instagram posts,false,Fake,0
Loreben Tuquero,"March 8, 2024",“The ‘Judge’ who took Trump off the ballot in Illinois is a traffic court judge.”,Instagram posts,false,Fake,0
Louis Jacobson,"March 8, 2024","""We’ve already cut the federal deficit by over $1 trillion.""",Joe Biden,half-true,Real,1
Maria Ramirez,"• March 8,","“Since May of last year, we have removed or returned more individuals than in any year since 2015.”",Alejandro Mayorkas,mostly-true,Real,1
Loreben Tuquero,"March 8, 2024",President Joe Biden “bans TikTok for government employees but creates an account for his own campaign.”,Katie Britt,mostly-true,Real,1
Madison Czopek,"March 8, 2024",“White House announces there will be 2 ‘intermissions’ during tonight’s State of the Union.”,Instagram posts,pants-fire,Fake,0
Ciara O'Rourke,"March 8, 2024",Video shows President Joe Biden delivering new remarks on the Capitol insurrection.,Viral image,false,Fake,0
Laura Schulte,"March 8, 2024",Says U.S. Sen. Tammy Baldwin “was one of the staunchest supporters of the Iran deal which sent billions of dollars and plane loads of cash to Iran.”,Eric Hovde,barely-true,Fake,0
Samantha Putterman,"March 8, 2024","Joe Biden's executive orders meant ""for the first time in American history we have a president who will not detain the people who enter this country illegally.""",Marco Rubio,false,Fake,0
Madeline Heim,"March 8, 2024","""We have technology and medical advancements today that can tell you if you are pregnant the day after conception.""",Amanda Nedweski,false,Fake,0
Jeff Cercone,"March 8, 2024",“The CDC officially agrees with ‘conspiracy theorists’ from 2020” who wanted to treat COVID-19 like the flu.,Instagram posts,false,Fake,0
Kwasi Gyamfi,"• March 8,","“Over 10 million people have come across the border with no vetting, no plan, and no path” during Biden’s presidency.",Franklin Graham,false,Fake,0
Madison Czopek,"March 7, 2024",Billionaires “rigged” the California Senate primary election through “dishonest means.”,Katie Porter,false,Fake,0
Sofia Ahmed,"March 7, 2024",Video shows Kamala Harris saying Democrats would use taxpayer dollars to bribe voters.,Instagram posts,false,Fake,0
Maria Briceño,"March 7, 2024",“This is the era where people are given smartphones when they cross the border and enter our country.”,Jonathan Martin,half-true,Real,1
Ciara O'Rourke,"March 7, 2024",Video shows Oklahoma students “sucking on the toes of adults.”,Viral image,false,Fake,0
Sofia Ahmed,"March 7, 2024",The Biden administration seeks to end voter ID requirements to allow immigrants in the country illegally to vote.,Instagram posts,false,Fake,0
Paul Specht,"March 7, 2024",“Eighty-two percent of the country understands that (the 2020 election) was a rigged election.”,Donald Trump,false,Fake,0
Maria Ramirez,"• March 6,",Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”,Elon Musk,false,Fake,0
Loreben Tuquero,"March 6, 2024",The U.S. Code states that a person convicted of treason would be “taken by the posse to the nearest busy intersection and at high noon hung by the neck until dead.”,Instagram posts,false,Fake,0
Madison Czopek,"March 6, 2024",President Joe Biden was “rushed to hospital unexpectedly.”,Benny Johnson,false,Fake,0
Sophia Voight,"March 6, 2024",“We're having the largest classes of correctional officers we've ever had before.”,Tony Evers,true,Real,1
Jeff Cercone,"March 5, 2024",Texas wildfires are a “deliberate” attack on U.S. food supply.,Instagram posts,false,Fake,0
Sara Swann,"March 5, 2024",The Texas wildfires were started by directed energy weapons.,Instagram posts,false,Fake,0
Loreben Tuquero,"March 5, 2024",Texas petition to outlaw “aerosolized spraying” is evidence of chemtrails.,Facebook posts,pants-fire,Fake,0
Hope Karnopp,"March 5, 2024","""There are less than two weeks until the deadline to register to vote in Wisconsin.""",Voto Latino .,barely-true,Fake,0
Jeff Cercone,"March 4, 2024",Setting on Apple’s new Journal app “lets anyone near you know your FULL NAME and EXACTLY where you’re geo-located.”,Facebook posts,false,Fake,0
Sofia Ahmed,"March 4, 2024",Michael Moore is supporting Trump in the 2024 election.,Instagram posts,false,Fake,0
Samantha Putterman,"March 4, 2024","If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",Joe Biden,mostly-true,Real,1
Madison Czopek,"March 1, 2024",“Your legal name is in fact a corporation. This is why you always see your name written in ALL CAPS.”,Instagram posts,pants-fire,Fake,0
Madison Czopek,"March 1, 2024","In New York City “local elections, illegal immigrants can vote.”",Sean Hannity,false,Fake,0
Grace Abels,"March 1, 2024",The Olympic boxing committee “decided this year that men can box against women in the Olympics.”,Tommy Tuberville,barely-true,Fake,0
Jeff Cercone,"March 1, 2024",“Chuck Schumer caught on hot mic” plotting to “blame REPUBLICANS AND MAGA” for reform delays.,Instagram posts,false,Fake,0
Sara Swann,"March 1, 2024",President Joe Biden’s comments about Texas homes are evidence that homes of a certain color are spared from wildfires.,Instagram posts,false,Fake,0
Katelyn Ferral,"March 1, 2024","Poland's foreign minister said the U.S. is ""dysfunctional and unreliable"" because it has not sent more aid to Ukraine.",Facebook posts,false,Fake,0
Katelyn Ferral,"March 1, 2024","“7.2 million illegals entered the U.S. under Biden administration,” showing that “the ‘Great Replacement’ is not a theory, it’s a reality.""",Facebook posts,false,Fake,0
Sofia Ahmed,"March 1, 2024","Chicken and cows have high levels of estrogen, which leads men who eat them to bald, develop man boobs and be unable to grow muscle mass.",Instagram posts,false,Fake,0
Laura Schulte,"March 1, 2024",“One of my responsibilities as Secretary of State is to countersign acts passed by the legislature & signed into law by Gov. Evers.”,Sarah Godlewski,barely-true,Fake,0
Katelyn Ferral,"March 1, 2024","“The Rothschilds were behind the Federal Reserve, and they now control the global financial system.”",Facebook posts,pants-fire,Fake,0
Sofia Ahmed,"February 29, 2024","Fifty percent of the votes to Joe Biden in Michigan’s presidential primary election were mail-in, unverified, no signature, no ID.",Instagram posts,false,Fake,0
Loreben Tuquero,"February 29, 2024","It was not former President Donald Trump who promoted the COVID-19 vaccine, but a “lookalike.”",Instagram posts,pants-fire,Fake,0
Jeff Cercone,"February 29, 2024",The government did more to stop the distribution of ivermectin and hydroxychloroquine than to stop the distribution of fentanyl.,Instagram posts,false,Fake,0
Louis Jacobson,"February 29, 2024",The 2022 CHIPS and Science Act “attracted $640 billion in private companies’ investments.”,Joe Biden,barely-true,Fake,0
Loreben Tuquero,"February 29, 2024",Photo shows the Smokehouse Creek fire in Texas.,Facebook posts,false,Fake,0
Madison Czopek,"February 28, 2024",“Study reveals Bill Gates’ Fake Meat causes ‘turbo cancers’ in humans.”,Instagram posts,false,Fake,0
Maria Ramirez,"• February 28,","Donald Trump called his wife ""Mercedes"" instead of Melania.",Facebook posts,false,Fake,0
Sara Swann,"February 28, 2024",Solar flares caused AT&T’s cellphone outage.,Instagram posts,false,Fake,0
Loreben Tuquero,"February 28, 2024",Taylor Swift said she “will leave the United States if Donald Trump becomes President in 2024.”,Instagram posts,false,Fake,0
Paul Specht,"February 28, 2024",“North Carolina has the longest voting period in the country … and we have the most ways of voting.”,Deborah Ross,half-true,Real,1
Sofia Ahmed,"February 28, 2024",The ATF updated its background check policy to allow “illegal immigrants” to purchase firearms.,Instagram posts,false,Fake,0
Sofia Ahmed,"February 28, 2024",The American Red Cross asking blood donors about their vaccination status proves COVID-19 vaccines are dangerous.,Instagram posts,false,Fake,0
Loreben Tuquero,"February 27, 2024","Removing gun-related homicides in Chicago, Detroit, Los Angeles, Philadelphia and St. Louis would drop the U.S. to 189th out of 193 countries in gun violence.",Instagram posts,false,Fake,0
Sofia Ahmed,"February 27, 2024",The states that have 97% of guns are the states with the least amount of gun violence.,Instagram posts,false,Fake,0
Jeff Cercone,"February 26, 2024",There was an “attempt on Dr. Oz’s life” on TV over his diabetes cure.,Instagram posts,false,Fake,0
Sara Swann,"February 26, 2024",“Disney World is adding urinals to the women’s restrooms.”,Instagram posts,pants-fire,Fake,0
Jeff Cercone,"February 26, 2024",Chicken farm fire that killed 12 million birds intentionally set.,Instagram posts,false,Fake,0
Madison Czopek,"February 23, 2024",The Kids Online Safety Act “would require everyone to upload your government ID in order to use most sites on the internet.”,X posts,false,Fake,0
Marta Campabadal,"• February 23,","“The biggest threat to your unions is millions of people coming across the border, because you're not gonna have your jobs anymore.”",Donald Trump,barely-true,Fake,0
Kwasi Gyamfi,"• February 23,",Johnnie Cochran “mysteriously passed away” and his death is linked to his work on slavery reparations.,Instagram posts,pants-fire,Fake,0
Katelyn Ferral,"February 23, 2024",The pictures we see of Mars are actually Devon Island in Canada.,Instagram posts,false,Fake,0
Amy Sherman,"February 23, 2024",Nevada database glitch showing voters cast ballots when they didn’t is evidence that voting by mail is “the largest source of potential voter fraud.”,Sean Parnell,false,Fake,0
Samantha Putterman,"February 23, 2024","There is “clear scientific consensus” that “hormonal birth control makes you fat, doubles risk of depression and triples risk of suicide.”",Elon Musk,false,Fake,0
Jill Terreri,"• February 23,","“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",Elise Stefanik,true,Real,1
D.L. Davis,"February 23, 2024",“Big drug companies charge as little as $7 for an inhaler overseas and nearly $500 for the exact same one here in the US.”,Tammy Baldwin,mostly-true,Real,1
Madeline Heim,"February 22, 2024","Says Republican U.S. Senate candidate Eric Hovde claims he ""understands the tragedy of children being trafficked through Central America because he owns three homes there.""",Heartland Signal,barely-true,Fake,0
Jeff Cercone,"February 22, 2024",Cloud seeding program connected to recent California storms.,Instagram posts,false,Fake,0
Kwasi Gyamfi,"• February 22,",Dwayne “The Rock” Johnson was booed in Las Vegas because he’s a Joe Biden supporter.,Instagram posts,false,Fake,0
Sofia Ahmed,"February 22, 2024","Migrants in New York City are receiving prepaid debit cards with up to $10,000 and no restrictions.",Instagram posts,false,Fake,0
Louis Jacobson,"February 22, 2024","Donald Trump’s fine in the New York fraud case “is a form of Navalny, it is a form of communism or fascism.”",Donald Trump,pants-fire,Fake,0
Maria Briceño,"February 21, 2024",En NASA estaban “investigando el mar y dejaron de investigarlo y se fueron para el espacio”.,Facebook posts,false,Fake,0
Sara Swann,"February 21, 2024",Ukrainian President Volodymyr Zelenskyy used U.S. aid funds to buy two yachts for $75 million.,Instagram posts,false,Fake,0
Jefrey Canova,"February 21, 2024","“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.",Linda Rosenthal,mostly-true,Real,1
Mary McNaughton,"February 21, 2024","“NYC will give $1,000 taxpayer-funded credit cards to migrants.”",George Borrello,half-true,Real,1
Jeff Cercone,"February 21, 2024",Photo shows Minnesota Sen. Amy Klobuchar and Minnesota Attorney General Keith Ellison posing at “Defund the Police” event.,Facebook posts,false,Fake,0
David Scibilia,"February 21, 2024","“TSA found with metal detectors nearly 7,000 firearms at airports last year — an all-time high.”",Charles Schumer,mostly-true,Real,1
Hope Karnopp,"February 21, 2024","“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”",Bryan Steil,half-true,Real,1
Louis Jacobson,"February 20, 2024",President Joe Biden “directed New York AG Witch Hunt” into Donald Trump’s real estate.,Donald Trump,false,Fake,0
Loreben Tuquero,"February 20, 2024",President Joe Biden announced tax incentives for families willing to take in migrants in a new “Housing for Labor” initiative.,Instagram posts,false,Fake,0
Jeff Cercone,"February 20, 2024","Benjamin Netanyahu refused to take a microphone from an Arab official, suggesting his belief that Arabs “are unclean.”",Instagram posts,false,Fake,0
Loreben Tuquero,"February 20, 2024",“Trump’s hair wig falls off during rally speech!”,Instagram posts,pants-fire,Fake,0
Conor Amendola,"February 20, 2024",“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,Kirsten Gillibrand,true,Real,1
Kwasi Gyamfi,"• February 16,","“At least one of Kansas City shooters identified as Sahil Omar, a 44 year old illegal immigrant.”",Instagram posts,pants-fire,Fake,0
Samantha Putterman,"February 16, 2024","""Google proves that no one ever went to the moon.”",Instagram posts,false,Fake,0
Sofia Ahmed,"February 16, 2024",A photograph shows Klaus Schwab nude at the beach.,Instagram posts,false,Fake,0
Jeff Cercone,"February 16, 2024","Because “17 million immigrants” were “let in” the U.S, “ foot and mouth disease is back. We got rid of that fifty years ago.”",Instagram posts,false,Fake,0
Madison Czopek,"February 16, 2024",Joe Biden or Donald Trump dropped out of the 2024 presidential race as of Feb 15.,Facebook posts,false,Fake,0
Sofia Ahmed,"February 16, 2024",Joe Biden’s tweet is proof that a helicopter crash that killed six Nigerian billionaires was planned by Biden.,Instagram posts,pants-fire,Fake,0
Ricardo Torres,"February 16, 2024","Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",Chris Larson,true,Real,1
Maria Briceño,"February 16, 2024",Video muestra vacas muriendo “en extrañas circunstancias” para reemplazarlas por “carne sintética”.,Instagram posts,false,Fake,0
Madison Czopek,"February 16, 2024",“The Ukraine supplemental includes a hidden impeachment clause against President Trump.”,JD Vance,false,Fake,0
Louis Jacobson,"February 15, 2024","Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",Joe Biden,true,Real,1
Sofia Ahmed,"February 15, 2024","Protestors yelled “F--- Joe Biden” as the president arrived in Allentown, Pennsylvania.",Instagram posts,false,Fake,0
Samantha Putterman,"February 15, 2024",The Bipartisan Safer Communities Act led to “a 12% reduction in urban homicides in this country.”,Chris Murphy,half-true,Real,1
Loreben Tuquero,"February 14, 2024",“Beyoncé faces nearly $10 billion loss following ‘Black national anthem’ performance at NFL.”,Facebook posts,pants-fire,Fake,0
Sofia Ahmed,"February 14, 2024",COVID-19 is caused by radiation poisoning.,Instagram posts,false,Fake,0
Laura Schulte,"February 14, 2024",Minnesota incarcerates “about a third of what Wisconsin does.”,Kelda Helen Roys,true,Real,1
Sara Swann,"February 14, 2024",Photo shows Ukrainian President Volodymyr Zelenskyy’s U.S. naturalization certificate.,Instagram posts,false,Fake,0
Jeff Cercone,"February 14, 2024","If a woman in Texas takes “abortion pills voluntarily,” she would be “charged with murder.”",Instagram posts,false,Fake,0
Sofia Ahmed,"February 13, 2024",Karine Jean-Pierre ended a White House press conference to avoid answering a question.,Instagram posts,false,Fake,0
Sara Swann,"February 13, 2024","En una entrevista con Tucker Carlson, el presidente ruso Vladimir Putin dijo que el tema de la frontera sur de Estados Unidos le parece ""irónicamente divertido"".",X posts,pants-fire,Fake,0
Sofia Ahmed,"February 13, 2024",Video shows Russia was attacked with direct energy weapons after Tucker Carlson’s interview with Vladimir Putin was released.,TikTok posts,false,Fake,0
Louis Jacobson,"February 13, 2024","Food “costs 40%, 50%, 60% more than it did just a few years ago.”",Donald Trump,barely-true,Fake,0
Jeff Cercone,"February 12, 2024","Arson, not climate change, caused Canada’s record 2023 wildfire season.",Instagram posts,false,Fake,0
Loreben Tuquero,"February 12, 2024","Jason Kelce “arrived in Vegas, for the Superbowl, dressed as Alan from The Hangover.”",X posts,false,Fake,0
Sara Swann,"February 12, 2024",Photo shows Taylor Swift wearing an anti-Donald Trump T-shirt.,Facebook posts,pants-fire,Fake,0
Maria Briceño,"February 12, 2024","""Texas dará a los Latinos un estímulo de salud de hasta $6,400"" que “cubrirá tus alimentos y el alquiler por un año”.",Facebook posts,false,Fake,0
Sofia Ahmed,"February 12, 2024",An 1871 law made the United States government a for-profit corporation.,TikTok posts,pants-fire,Fake,0
Bayliss Wagner,"February 12, 2024","Department of Homeland Security Secretary Alejandro Mayorkas' border policy is ""personally responsible"" for fentanyl crossing the border",Michael McCaul,false,Fake,0
Maria Ramirez,"• February 9,","On classified documents in his possession, “none of it was high classified.”",Joe Biden,false,Fake,0
Loreben Tuquero,"February 9, 2024",King Charles’ cancer diagnosis is linked to mRNA cancer therapy trial in U.K.,Instagram posts,false,Fake,0
Sara Swann,"February 9, 2024",Paper shows “mRNA COVID-19 vaccines caused more deaths” than lives saved.,Instagram posts,pants-fire,Fake,0
Amy Sherman,"February 9, 2024",“I cooperated far more” than Joe Biden in the classified documents investigations.,Donald Trump,pants-fire,Fake,0
Jeff Cercone,"February 9, 2024","""Ukraine puts Tucker Carlson on a ‘hit list’ after an interview with Vladimir Putin.”",Instagram posts,false,Fake,0
Kwasi Gyamfi,"• February 9,","""NYC to give ILLEGALS $53 Million in Prepaid Credit Cards.""",Facebook posts,barely-true,Fake,0
Sara Swann,"February 9, 2024","In an interview with Tucker Carlson, Russian President Vladimir Putin said he finds the U.S.-Mexico border issue “ironically amusing.”",Instagram posts,pants-fire,Fake,0
Maria Briceño,"February 9, 2024","""El Senado de EE. UU. ha dado luz verde a un acuerdo que cierra inmediatamente las fronteras del país y limitará todas las peticiones de asilo y apelaciones”.",TikTok posts,false,Fake,0
D.L. Davis,"February 9, 2024",“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”,Robin Vos,barely-true,Fake,0
Grace Abels,"February 8, 2024",Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”,Viral image,pants-fire,Fake,0
Sofia Ahmed,"February 8, 2024",Video shows “Putin refused to acknowledge Netanyahu.”,Instagram posts,false,Fake,0
Marta Campabadal,"• February 8,",Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,Kamala Harris,true,Real,1
Madison Czopek,"February 8, 2024","Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”",Tucker Carlson,pants-fire,Fake,0
Sofia Ahmed,"February 8, 2024","The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.",Instagram posts,false,Fake,0
Loreben Tuquero,"February 8, 2024",“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”,Instagram posts,false,Fake,0
Madison Czopek,"February 8, 2024",“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.,Jesse Watters,false,Fake,0
Kwasi Gyamfi,"• February 8,",President Joe Biden admitted to using the Justice Department to pursue his political foes.,Instagram posts,false,Fake,0
Louis Jacobson,"February 7, 2024",“Inflation has been at the pre-pandemic level of 2% over the last half year.”,Joe Biden,half-true,Real,1
Sofia Ahmed,"February 7, 2024","Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.",Instagram posts,pants-fire,Fake,0
Amy Sherman,"February 6, 2024",Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”,Elon Musk,false,Fake,0
Marta Campabadal,"• February 6,","""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".",Facebook posts,false,Fake,0
Jeff Cercone,"February 6, 2024","""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.",Instagram posts,false,Fake,0
Louis Jacobson,"February 6, 2024","In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""",Donald Trump,barely-true,Fake,0
Loreben Tuquero,"February 6, 2024",Martin Luther King Jr. is “rallying around President Trump!”,Facebook posts,pants-fire,Fake,0
Sara Swann,"February 6, 2024",Wearing this bracelet aids in weight loss.,Facebook posts,pants-fire,Fake,0
Laura Schulte,"February 6, 2024","“Wisconsin had over 1,400 opioid overdose deaths in 2022.”",Tammy Baldwin,true,Real,1
Maria Ramirez,"• February 6,","The Senate’s border bill “accepts 5,000 illegal immigrants a day.”",Steve Scalise,false,Fake,0
Sara Swann,"February 5, 2024","If Texas says, “‘We don’t want to be part of America anymore’ … that’s their decision to make.”",Nikki Haley,false,Fake,0
Louis Jacobson,"February 5, 2024","Under President Joe Biden, “Black unemployment is the lowest in American history.”",Donna Brazile,mostly-true,Real,1
Sofia Ahmed,"February 5, 2024",Russian United Nations representative Vasily Nebenzya spoke about Russia supplying weapons to Texas to use in its border dispute with the Biden administration.,TikTok posts,false,Fake,0
Jeff Cercone,"February 5, 2024",Killer Mike arrested at Grammy Awards for not endorsing Joe Biden on “Real Time with Bill Maher.”,TikTok posts,pants-fire,Fake,0
Katheryn Houghton,"February 5, 2024",“It’s been revealed that Fauci brought COVID to the Montana one year before COVID broke out in the U.S.!”,Matthew Rosendale,pants-fire,Fake,0
Marta Campabadal,"• February 2,","""Nuevo beneficio de plan de entierro que cubre el 100 % de sus gastos funerarios""",Facebook posts,false,Fake,0
Maria Briceño,"February 2, 2024","El doctor ecuatoriano Marco Albuja ""fue atacado por miembros de empresas farmacéuticas por revelar una cura secreta para la hipertensión"".",Facebook posts,false,Fake,0
Katelyn Ferral,"February 2, 2024",“Texas tractors defend border.”,Facebook posts,false,Fake,0
Katelyn Ferral,"February 2, 2024",The government is spraying chemicals into the sky to block the sun.,Instagram posts,false,Fake,0
Sofia Ahmed,"February 2, 2024","Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag.",Instagram posts,pants-fire,Fake,0
Hope Karnopp,"February 2, 2024","""(The) top issue for college students is the economy.""",Scott Walker,true,Real,1
Sophia Voight,"February 2, 2024","“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",Tony Evers,true,Real,1
Sofia Ahmed,"February 1, 2024",The Marburg virus has been implanted into people who were vaccinated and has nanotechnology that can be activated through 5G technology.,Instagram posts,pants-fire,Fake,0
Jeff Cercone,"February 1, 2024",Stanley cups tested positive for lead “inside of the cup where the drink is.”,Facebook posts,false,Fake,0
Kwasi Gyamfi,"• February 1,","Rep. Ilhan Omar said her ""top priority is to put Somalia first and expand its territory.”",X posts,false,Fake,0
Sara Swann,"February 1, 2024",Photo shows explosives disguised as food cans.,Instagram posts,false,Fake,0
Loreben Tuquero,"February 1, 2024",“Epstein List” shows 166 people connected to convicted sex offender Jeffrey Epstein.,Instagram posts,false,Fake,0
Maria Briceño,"January 31, 2024","El logotipo de la Organización de las Naciones Unidas ""es el mapa de la tierra plana rodeado por la Antártida"".",Facebook posts,false,Fake,0
Maria Briceño,"January 31, 2024","Movsum Samadov ""condenado por 12 años en prision por tratar de derrocar a su gobierno"" entró a EEUU ""por la frontera"".",TikTok posts,false,Fake,0
Sofia Ahmed,"January 31, 2024",Oat milk “raises your blood sugar as much as drinking a Coke.”,Instagram posts,false,Fake,0
Amy Sherman,"January 30, 2024",Democrats “used COVID to cheat” in the 2020 election.,Donald Trump,pants-fire,Fake,0
Sara Swann,"January 30, 2024",China “experimenta con una nueva cepa de” COVID “que muestra ser 100% mortal”.,Facebook posts,false,Fake,0
Loreben Tuquero,"January 30, 2024",Video shows people “heading to Texas to stop the Biden Border Invasion.”,Instagram posts,false,Fake,0
Samantha Putterman,"January 30, 2024","“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",Kamala Harris,true,Real,1
Jeff Cercone,"January 30, 2024",Judge in E. Jean Carroll-Donald Trump trial “involved in sex trafficking.”,Instagram posts,pants-fire,Fake,0
Maria Briceño,"January 30, 2024","Video shows a convicted terrorist, Movsum Samadov, coming to the U.S. through the southern border.",Facebook posts,false,Fake,0
Jeff Cercone,"January 30, 2024",Twelve babies died from taking RSV drug in clinical trials.,Instagram posts,false,Fake,0
Maria Briceño,"January 30, 2024","""Ecuador firma acuerdo con los Estados Unidos para obtener presencia militar debido a los recientes acontecimientos por parte de delicuentes.""",TikTok posts,false,Fake,0
Sophia Voight,"January 30, 2024","In the past year, Michigan, Minnesota and Illinois passed ""highly popular” policies such as paid family leave, one of several issues that have been stymied in Wisconsin by Republicans.",Chris Larson,half-true,Real,1
Katelyn Ferral,"January 30, 2024",Elon Musk is not allowing X users to search for Taylor Swift on the platform “out of fear they will find this pro-Biden image of her.”,Social Media,false,Fake,0
Kwasi Gyamfi,"• January 30,","The government will send a $2,400 check monthly to people earning less than $30 an hour.",Facebook posts,false,Fake,0
Sara Swann,"January 29, 2024",The Pfizer COVID-19 vaccine “shuts off” recipients’ hearts.,Instagram posts,false,Fake,0
Loreben Tuquero,"January 29, 2024","An activist spoke about LGBTQ+ issues at a Plano, Texas, city council meeting.",Instagram posts,false,Fake,0
Louis Jacobson,"January 29, 2024","“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",Joe Biden,half-true,Real,1
Madison Czopek,"January 26, 2024",“Klaus Schwab admits ‘political revolution’ against the ‘great reset’ is destroying his agenda.”,Instagram posts,false,Fake,0
Jeff Cercone,"January 26, 2024",United Nations troops can “round up” and forcibly “vaccinate the population” if WHO pandemic treaty is passed.,Instagram posts,false,Fake,0
Sara Swann,"January 26, 2024",Chinese scientists “created (a) new COVID-19 strain (with) 100% fatality.”,Instagram posts,false,Fake,0
Sofia Ahmed,"January 26, 2024","Jaw-dropping footage from Epstein’s first jail cell provides concrete evidence that Bill Clinton, Prince Andrew, Bill Gates and Oprah Winfrey played a significant role in Epstein’s death.",Instagram posts,pants-fire,Fake,0
Sophia Voight,"January 26, 2024","""There are a thousand billionaires now and you know what their average tax rate is? 8%.""",Joe Biden,false,Fake,0
Katelyn Ferral,"January 26, 2024","In vaccinated males, the COVID-19 vaccine’s spike protein “has entirely replaced their sperm.”",Arne Burkhardt,pants-fire,Fake,0
Grace Abels,"January 26, 2024",“Rep. Dean Phillips received almost twice as many votes as Biden did in the New Hampshire primary.”,X posts,pants-fire,Fake,0
D.L. Davis,"January 26, 2024","""Unfortunately during COVID, the clerks in Madison and Milwaukee told their constituents that they were actually indefinitely confined and did not have to come and vote, which was incorrect.""",Cindi Duchow,mostly-true,Real,1
Madison Czopek,"January 25, 2024",Social media post claims judge in Trump’s defamation trial engaged in “election interference” by delaying the trial to New Hampshire’s primary day.,Instagram posts,false,Fake,0
Jeff Cercone,"January 25, 2024",“US hospitals caught injecting experimental Ebola vaccine that sheds!”,Instagram posts,false,Fake,0
Sofia Ahmed,"January 25, 2024",Alex Soros posted a “direct violent threat to Donald Trump!”,The Gateway Pundit,pants-fire,Fake,0
Kwasi Gyamfi,"• January 25,","“In August 2023, illegal immigration outpaced American births.”",Tucker Carlson,false,Fake,0
Grace Abels,"January 24, 2024",“New proposed bill in Maine says the state can take custody of a kid if the parents oppose” gender-affirming care,X posts,false,Fake,0
Madison Czopek,"January 24, 2024",President Joe Biden changed the State of the Union Address from summer to March.,Instagram posts,pants-fire,Fake,0
Louis Jacobson,"January 23, 2024",“Florida state government (has the) lowest number of state employees per capita in the country.”,Ron DeSantis,mostly-true,Real,1
Madison Czopek,"January 23, 2024",Sports journalist Mike Dickson died because of COVID-19 vaccines.,Instagram posts,false,Fake,0
Maria Ramirez,"• January 23,","""Nikki Haley refused to call illegals criminals"" and ""repeatedly pushed amnesty for illegals.""",MAGA Inc,false,Fake,0
Hope Karnopp,"January 23, 2024","""After Roe was dismantled, extremists evoked a law from 1849 to stop abortion”  in Wisconsin.",Kamala Harris,false,Fake,0
Sofia Ahmed,"January 22, 2024",Kentucky Republican lawmaker “wants to legalize sexual relations with first cousins.”,Instagram posts,false,Fake,0
Amy Sherman,"January 22, 2024",Says President Joe Biden said that Democrats should not vote in the New Hampshire primary.,Robocaller,pants-fire,Fake,0
Maria Ramirez,"• January 21,","Says Winston Churchill said, “Success is not final, failure is not fatal: it is the courage to continue that counts.”",Ron DeSantis,false,Fake,0
Marta Campabadal,"• January 19,","Un nuevo programa llamado Acta de Atención Médica ofrece ""$6,400 en créditos de prima avanzados para gastos médicos costosos y necesidades diarias"".",Facebook posts,false,Fake,0
Katelyn Ferral,"January 19, 2024",A portable heater invented by a Vietnam War-era veteran can heat a whole home and slash heating bills.,Facebook posts,false,Fake,0
Sofia Ahmed,"January 19, 2024",Israeli Prime Minister Benjamin Netanyahu knew the World Trade Center buildings would be brought down six years before 9/11.,TikTok posts,false,Fake,0
